Time (s), X(km), Y(km)
-0.359, 387.296, 4807.852,
3.912, 386.487, 4760.737,
6.796, 440.181, 4718.273,
13.269, 480.234, 4694.017,
16.394, 466.249, 4691.794,
19.880, 489.212, 4676.767,
25.592, 516.711, 4606.730,
28.901, 564.265, 4614.010,
33.025, 615.323, 4594.283,
37.058, 622.528, 4603.834,
41.455, 655.323, 4581.882,
45.767, 655.187, 4494.342,
50.551, 690.529, 4499.312,
54.331, 731.672, 4475.190,
59.067, 746.145, 4478.990,
61.819, 780.781, 4426.411,
66.775, 769.163, 4400.716,
70.597, 822.706, 4399.373,
74.824, 847.685, 4358.679,
78.714, 881.527, 4345.451,
83.551, 887.678, 4330.856,
86.752, 898.791, 4281.750,
91.663, 913.925, 4290.573,
95.232, 972.914, 4273.397,
99.601, 993.407, 4236.229,
104.248, 993.337, 4172.426,
108.159, 1047.939, 4192.384,
111.289, 1048.522, 4182.307,
116.439, 1112.358, 4182.596,
120.789, 1112.770, 4153.485,
125.187, 1147.019, 4102.191,
